transaction_id,timestamp,customer.customer_id,customer.name,customer.location.city,customer.location.country,purchase.item,purchase.category,purchase.amount,purchase.quantity,payment.method,payment.status
TXN0001,2026-05-16T05:16:38,428,Kristina Henry,Ginaside,United Arab Emirates,learn,Home,1357.3,5,Debit Card,Failed
TXN0002,2026-03-16T04:06:00,387,Sean Wyatt,Jessicaborough,Nicaragua,opportunity,Clothing,1583.09,1,Debit Card,Success
TXN0003,2026-05-01T13:03:03,51,Christopher Adkins,East Scotthaven,Congo,accept,Home,471.97,1,Debit Card,Failed
TXN0004,2026-06-04T16:22:09,497,Thomas Moon,New Joshuaview,Norway,measure,Footwear,68.96,3,Cash,Failed
TXN0005,2026-06-26T12:04:02,117,Michael King,New Madelinefort,New Caledonia,project,Footwear,1110.55,4,Cash,Success
TXN0006,2026-03-10T16:53:56,349,John Golden DDS,North Mikeberg,Romania,simply,Accessories,1324.74,1,Debit Card,Success
TXN0007,2026-04-18T18:17:02,366,Bonnie Barnes,North Scottton,Germany,bill,Electronics,173.26,2,Cash,Success
TXN0008,2026-05-23T05:45:31,379,Mrs. Lisa Smith,Rachaelburgh,United Kingdom,peace,Home,640.19,1,UPI,Success
TXN0009,2026-04-14T13:13:37,483,Teresa Powell,North Jameshaven,Cameroon,shoulder,Footwear,895.02,3,UPI,Success
TXN0010,2026-01-02T06:03:12,45,Jeremy Hill,Lake William,China,prove,Clothing,867.65,5,Cash,Success
TXN0011,2026-06-29T19:31:22,14,Justin Wilson,Carrollland,Mongolia,wonder,Electronics,714.29,1,Debit Card,Failed
TXN0012,2026-01-05T01:17:44,7,Thomas White,East Lonnietown,Seychelles,condition,Footwear,833.48,1,Credit Card,Success
TXN0013,2026-03-16T05:03:04,351,James Miller,West Mary,Norway,yes,Home,347.31,3,Debit Card,Success
TXN0014,2026-05-03T13:03:18,253,Nancy Collins,Mccarthyburgh,Fiji,challenge,Clothing,135.9,4,Debit Card,Failed
TXN0015,2026-06-20T17:21:12,154,Russell Nelson,East Tiffany,Eritrea,save,Home,1567.51,3,Debit Card,Success
TXN0016,2026-03-08T04:56:19,370,John Lane,Kelseyhaven,Korea,themselves,Home,1191.67,2,Cash,Success
TXN0017,2026-04-23T02:46:35,70,Ruben Cruz,Lake Ryan,Oman,talk,Footwear,23.47,4,Debit Card,Failed
TXN0018,2026-07-01T15:10:11,412,Michael Gordon,Christopherborough,Eritrea,discover,Footwear,886.04,4,Credit Card,Success
TXN0019,2026-05-25T13:55:36,165,Thomas Holmes,South Donald,Namibia,future,Accessories,1895.09,2,Cash,Success
TXN0020,2026-01-04T01:37:03,91,Mary Valenzuela,Jacquelinestad,Trinidad and Tobago,wear,Home,1937.76,3,Cash,Success
TXN0021,2026-03-14T07:08:37,167,John Rogers,East Robinport,Central African Republic,manage,Home,567.8,4,Debit Card,Success
TXN0022,2026-04-09T02:10:02,478,Jessica Jensen,Simonfort,Syrian Arab Republic,either,Accessories,407.6,5,Credit Card,Success
TXN0023,2026-07-16T21:13:00,488,Lindsay Olson,Evansbury,Serbia,worry,Home,1886.52,2,Cash,Success
TXN0024,2026-04-27T17:38:03,426,Jeffery Adams,Watkinsburgh,Malaysia,compare,Electronics,1639.74,4,Cash,Success
TXN0025,2026-05-10T09:09:22,325,Traci Bender,New Karen,Bulgaria,record,Footwear,491.62,2,Cash,Failed
TXN0026,2026-06-28T20:59:19,38,Amy Davis,Port Michael,Indonesia,company,Home,1981.49,4,Cash,Failed
TXN0027,2026-03-20T23:05:53,279,Charles Andrade,Kyleburgh,Dominica,toward,Electronics,1583.53,3,UPI,Success
TXN0028,2026-07-02T20:10:49,394,Nathaniel Moore,Adamburgh,Guatemala,black,Clothing,1318.63,3,Credit Card,Success
TXN0029,2026-02-07T05:09:08,289,Jennifer Lewis,Barnettmouth,Romania,eight,Home,1933.95,3,Cash,Success
TXN0030,2026-06-14T21:29:18,6,Fernando Mcconnell,Mejiaport,Svalbard & Jan Mayen Islands,represent,Electronics,524.89,5,Credit Card,Failed
TXN0031,2026-05-24T08:33:53,192,Kimberly Reed,East Nicoleburgh,Seychelles,easy,Home,931.5,5,Credit Card,Success
TXN0032,2026-03-15T00:00:45,13,Jonathan Smith,Melendezbury,Burundi,money,Home,218.05,4,UPI,Success
TXN0033,2026-05-01T19:35:17,426,Eric Davis,Valdezchester,Canada,feel,Clothing,703.17,3,Cash,Success
TXN0034,2026-02-11T08:00:16,267,Roberto Johnson,Whitefurt,Pitcairn Islands,nation,Home,703.12,1,Cash,Failed
TXN0035,2026-02-19T23:56:21,164,Bradley Parks,Lake Michelletown,Central African Republic,from,Electronics,607.53,1,UPI,Success
TXN0036,2026-01-22T04:04:55,332,Janet Gibson,Valdezfurt,Jamaica,spend,Electronics,1357.51,2,Credit Card,Success
TXN0037,2026-07-27T18:47:11,283,David Walters,Shawfort,Rwanda,government,Clothing,668.67,4,Cash,Success
TXN0038,2026-02-01T01:44:20,409,Ashley White,Schmidtfurt,Trinidad and Tobago,represent,Home,1263.22,2,Cash,Failed
TXN0039,2026-06-30T11:54:24,15,George Villa,Jamesmouth,Jordan,anything,Accessories,1767.36,4,Cash,Failed
TXN0040,2026-05-12T01:22:17,3,Bryan Burns,Brendanstad,El Salvador,large,Clothing,419.51,1,UPI,Success
TXN0041,2026-06-23T12:11:58,188,Pamela Johnson,Guystad,Israel,adult,Footwear,402.18,1,Debit Card,Failed
TXN0042,2026-04-07T13:22:08,271,Mark Larson,Jessicaside,Saint Vincent and the Grenadines,individual,Footwear,1197.97,5,Cash,Success
TXN0043,2026-05-15T03:14:00,179,Joseph Martinez,Lake Trevor,Uganda,face,Footwear,1692.58,5,Credit Card,Success
TXN0044,2026-02-26T23:48:47,471,Melissa Sanchez,Williamsmouth,Holy See (Vatican City State),American,Accessories,1184.44,2,Debit Card,Success
TXN0045,2026-04-28T06:42:47,123,Misty Burnett,South Williamland,Guadeloupe,within,Footwear,242.73,3,Credit Card,Failed
